,complexity,loss,equation,score,sympy_format,lambda_format
0,1,38.47991,C_in,0.0,C_in,PySRFunction(X=>C_in)
1,3,17.686481,C_in * 0.7010833,0.3886678622404954,C_in*0.7010833,PySRFunction(X=>C_in*0.7010833)
2,5,17.457571,(C_in * 0.67167425) - -0.65611607,0.006513569843376098,C_in*0.67167425 - 1*(-0.65611607),PySRFunction(X=>C_in*0.67167425 - 1*(-0.65611607))
3,6,16.458662,C_in / exp(12.250069 / Area),0.05892151877564933,C_in/exp(12.250069/Area),PySRFunction(X=>C_in/exp(12.250069/Area))
4,7,2.802332,C_in * (-633.43677 / (-457.12228 - Distance)),1.7703999762830835,C_in*(-633.43677)/(-Distance - 457.12228),PySRFunction(X=>C_in*(-633.43677)/(-Distance - 457.12228))
5,9,1.3171594,C_in / (((Distance / Area) / 17.916557) + 0.72014713),0.37748723980185495,C_in/(0.72014713 + Distance/(17.916557*Area)),PySRFunction(X=>C_in/(0.72014713 + Distance/(17.916557*Area)))
6,10,1.2196012,C_in / square(((Distance / Area) / 40.31806) + 0.86725545),0.07695352802661001,C_in/((0.86725545 + Distance/(40.31806*Area))**2),PySRFunction(X=>C_in/((0.86725545 + Distance/(40.31806*Area))**2))
7,12,1.1567473,C_in / square(((Distance * 0.025076801) / (V_in + Area)) + 0.86652976),0.02645595269208569,C_in/((Distance*0.025076801/(Area + V_in) + 0.86652976)**2),PySRFunction(X=>C_in/((Distance*0.025076801/(Area + V_in) + 0.86652976)**2))
8,13,1.1168194,C_in / square((Distance * (0.025033861 / (Area + exp(V_in)))) + 0.87072),0.03512719074119658,C_in/((Distance*0.025033861/(Area + exp(V_in)) + 0.87072)**2),PySRFunction(X=>C_in/((Distance*0.025033861/(Area + exp(V_in)) + 0.87072)**2))
9,14,1.1035732,((C_in + -1.6051197) / square(((0.027320644 / Area) * Distance) + 0.84494656)) - -1.2918822,0.011931545030066644,-1*(-1.2918822) + (C_in - 1.6051197)/((0.84494656 + 0.027320644*Distance/Area)**2),PySRFunction(X=>-1*(-1.2918822) + (C_in - 1.6051197)/((0.84494656 + 0.027320644*Distance/Area)**2))
10,15,1.0272878,(C_in / ((((Distance * 0.04302118) / Area) / sqrt(sqrt(V_in))) + 0.70840555)) - 0.5305152,0.07163115352654607,C_in/(0.70840555 + 0.04302118*Distance/(Area*V_in**(1/4))) - 0.5305152,PySRFunction(X=>C_in/(0.70840555 + 0.04302118*Distance/(Area*V_in**(1/4))) - 0.5305152)
11,16,1.0043195,C_in / (((((0.13026822 * Distance) / Area) / (V_in + 1.8226641)) + 0.66964644) + inv(C_in)),0.022611927640985473,C_in/(0.66964644 + 1/C_in + 0.13026822*Distance/(Area*(V_in + 1.8226641))),PySRFunction(X=>C_in/(0.66964644 + 1/C_in + 0.13026822*Distance/(Area*(V_in + 1.8226641))))
12,17,0.9848573,C_in / ((((Distance * (0.081945725 / Area)) / (sqrt(V_in) + 0.78388)) + 0.66941166) + inv(C_in)),0.019568719139285092,C_in/(0.66941166 + 1/C_in + 0.081945725*Distance/(Area*(sqrt(V_in) + 0.78388))),PySRFunction(X=>C_in/(0.66941166 + 1/C_in + 0.081945725*Distance/(Area*(sqrt(V_in) + 0.78388))))
13,19,0.9499541,C_in / (((Distance * (0.04890693 / sqrt(V_in + exp(Distance * (-0.059172854 / Area))))) / Area) + 0.7613111),0.018041544971327022,C_in/(0.7613111 + 0.04890693*Distance/(Area*sqrt(V_in + exp(-0.059172854*Distance/Area)))),PySRFunction(X=>C_in/(0.7613111 + 0.04890693*Distance/(Area*sqrt(V_in + exp(-0.059172854*Distance/Area)))))
14,20,0.84915274,C_in / ((((Distance * 0.050301764) / Area) / (sqrt(sqrt(V_in)) + exp(Distance * (-0.123785734 / Area)))) + 0.7799156),0.112174591736127,C_in/(0.7799156 + 0.050301764*Distance/(Area*(V_in**(1/4) + exp(-0.123785734*Distance/Area)))),PySRFunction(X=>C_in/(0.7799156 + 0.050301764*Distance/(Area*(V_in**(1/4) + exp(-0.123785734*Distance/Area)))))
