,complexity,loss,equation,score,sympy_format,lambda_format
0,1,42.470932,5.5072393,0.0,5.50723930000000,PySRFunction(X=>5.50723930000000)
1,2,36.855095,sqrt(C_in),0.14182601667950365,sqrt(C_in),PySRFunction(X=>sqrt(C_in))
2,3,16.463215,C_in / 2.0326238,0.8058653741383976,C_in/2.0326238,PySRFunction(X=>C_in/2.0326238)
3,5,16.205126,(C_in * 0.4607376) + 0.69658864,0.007900443113762113,C_in*0.4607376 + 0.69658864,PySRFunction(X=>C_in*0.4607376 + 0.69658864)
4,6,15.929421,(C_in * sqrt(Area)) * 0.08125505,0.017159835195853353,0.08125505*sqrt(Area)*C_in,PySRFunction(X=>0.08125505*sqrt(Area)*C_in)
5,7,10.131299,((Distance * -0.00052464043) + 0.7799583) * C_in,0.4525382337345795,C_in*(0.7799583 + Distance*(-0.00052464043)),PySRFunction(X=>C_in*(0.7799583 + Distance*(-0.00052464043)))
6,8,9.709504,C_in * ((sqrt(Distance) * -0.02231659) + 0.9863072),0.0425243433717062,C_in*(0.9863072 - 0.02231659*sqrt(Distance)),PySRFunction(X=>C_in*(0.9863072 - 0.02231659*sqrt(Distance)))
7,10,9.431129,(((C_in + -1.2894971) * -0.024273606) * sqrt(Distance)) + C_in,0.01454469293796396,C_in + sqrt(Distance)*(0.0313007445435426 - 0.024273606*C_in),PySRFunction(X=>C_in + sqrt(Distance)*(0.0313007445435426 - 0.024273606*C_in))
8,11,9.2116165,C_in * (((Distance * -0.0005301617) + 0.88184536) - (C_in * 0.002620757)),0.023550463153299273,C_in*(-0.002620757*C_in + Distance*(-0.0005301617) + 0.88184536),PySRFunction(X=>C_in*(-0.002620757*C_in + Distance*(-0.0005301617) + 0.88184536))
9,12,8.926844,((C_in * -0.0024167341) + ((sqrt(Distance) * -0.02230352) - -1.0771742)) * C_in,0.03140243364096543,C_in*(-0.0024167341*C_in - 0.02230352*sqrt(Distance) + 1.0771742),PySRFunction(X=>C_in*(-0.0024167341*C_in - 0.02230352*sqrt(Distance) + 1.0771742))
10,14,8.6199875,(((sqrt(Distance) - (C_in * (-3.4030116 / Area))) * -0.022370446) + 1.0769488) * C_in,0.017489641205189782,C_in*(-0.022370446*sqrt(Distance) + 1.0769488 - 0.0761268872351736*C_in/Area),PySRFunction(X=>C_in*(-0.022370446*sqrt(Distance) + 1.0769488 - 0.0761268872351736*C_in/Area))
11,16,8.547926,C_in * ((((sqrt(Distance) * -0.022392772) + (-5.217497 / Area)) + 1.2114574) - (C_in * 0.0018460798)),0.004197477067450167,C_in*(-0.0018460798*C_in - 0.022392772*sqrt(Distance) + 1.2114574 - 5.217497/Area),PySRFunction(X=>C_in*(-0.0018460798*C_in - 0.022392772*sqrt(Distance) + 1.2114574 - 5.217497/Area))
12,17,8.511936,((-1.7405046 / sqrt(Area)) + ((sqrt(Distance) * (-0.019564357 - (C_in * 8.3356965e-5))) + 1.290837)) * C_in,0.004219266649610952,C_in*(sqrt(Distance)*(-8.3356965e-5*C_in - 0.019564357) + 1.290837 - 1.7405046/sqrt(Area)),PySRFunction(X=>C_in*(sqrt(Distance)*(-8.3356965e-5*C_in - 0.019564357) + 1.290837 - 1.7405046/sqrt(Area)))
13,19,8.494434,(((-1.8103988 / sqrt(Area)) + 1.3196242) + (sqrt(Distance) * (-0.019648407 - (C_in * 9.1614034e-5)))) * (C_in + -0.33367342),0.0010291441488694427,(C_in - 0.33367342)*(sqrt(Distance)*(-9.1614034e-5*C_in - 0.019648407) + 1.3196242 - 1.8103988/sqrt(Area)),PySRFunction(X=>(C_in - 0.33367342)*(sqrt(Distance)*(-9.1614034e-5*C_in - 0.019648407) + 1.3196242 - 1.8103988/sqrt(Area)))
14,20,8.482769,((C_in + -1.6404362) * ((-5.665154 / Area) + (((sqrt(Distance) * -0.024305478) - (C_in * 0.0020085361)) + 1.2762938))) - -0.8163082,0.0013741959539150096,(C_in - 1.6404362)*(-0.0020085361*C_in - 0.024305478*sqrt(Distance) + 1.2762938 - 5.665154/Area) + 0.8163082,PySRFunction(X=>(C_in - 1.6404362)*(-0.0020085361*C_in - 0.024305478*sqrt(Distance) + 1.2762938 - 5.665154/Area) + 0.8163082)
15,22,8.39835,C_in * (((sqrt(Distance) * ((sqrt(Area) * 0.0018177888) + -0.033396985)) + 1.0123152) - exp((V_in * (Area * -1.1198999)) + 5.5592284)),0.0050008357695775245,C_in*(sqrt(Distance)*(0.0018177888*sqrt(Area) - 0.033396985) + 1.0123152 - 259.622434347469*exp(-1.1198999*Area*V_in)),PySRFunction(X=>C_in*(sqrt(Distance)*(0.0018177888*sqrt(Area) - 0.033396985) + 1.0123152 - 259.622434347469*exp(-1.1198999*Area*V_in)))
16,23,8.383096,C_in * ((sqrt(Distance) * ((sqrt(log(Area)) * 0.021841193) + -0.06368519)) + (1.0136397 - exp((Area * (V_in * -0.97628367)) + 4.614157))),0.0018179606454868885,C_in*(sqrt(Distance)*(0.021841193*sqrt(log(Area)) - 0.06368519) + 1.0136397 - 100.902731666397*exp(-0.97628367*Area*V_in)),PySRFunction(X=>C_in*(sqrt(Distance)*(0.021841193*sqrt(log(Area)) - 0.06368519) + 1.0136397 - 100.902731666397*exp(-0.97628367*Area*V_in)))
17,24,8.326215,C_in * (((sqrt(Distance) * (((sqrt(Area) + V_in) * 0.0020286555) + -0.03576678)) - exp(((V_in * -1.8421897) * Area) + 10.143452)) + 1.0074211),0.006808326174354044,C_in*(sqrt(Distance)*(0.0020286555*sqrt(Area) + 0.0020286555*V_in - 0.03576678) + 1.0074211 - 25424.0790998694*exp(-1.8421897*Area*V_in)),PySRFunction(X=>C_in*(sqrt(Distance)*(0.0020286555*sqrt(Area) + 0.0020286555*V_in - 0.03576678) + 1.0074211 - 25424.0790998694*exp(-1.8421897*Area*V_in)))
