Training_Size,Mean_R2,Std_R2,Raw_Scores
100,0.7461569267496878,0.20463073114995228,"[0.9285874851937199, 0.9002202273005124, 0.3477134094207689, 0.0, 0.7086453009666307, 0.8658039914974202, 0.0, 0.0, 0.7529336314414624, 0.27177619269700704, 0.7339125273575396, 0.0, 0.9606254224552792, 0.8261858164434599, 0.0, 0.720550403597062, 0.7510567381378868, 0.0, 0.9320289012371921, -5.358752079328431]"
200,0.8815216354504931,0.09075820159052705,"[0.7592003029405249, 0.9500141128563665, 0.0, 0.8818965748260195, 0.9604568633694851, 0.9304686677899121, 0.9011620082526667, 0.9325407810551785, 0.9693860384965324, 0.0, 0.9008943389356558, 0.9711599133986524, 0.96397065032406, 0.9106583614546084, 0.9338587395174095, 0.7294621350960647, 0.9414515857569263, 0.7974237730405543, 0.6823573868050731, 0.751027204193185]"
300,0.9061605774513131,0.07926486424207257,"[0.9519301885846136, 0.9612608024641003, 0.8870104456138256, 0.9755698168230386, 0.9639261572164796, 0.9611104356317564, 0.9544682631529139, 0.8866191739338962, 0.7119057694706009, 0.6933470041046637, 0.9830958696102102, 0.9245647864341878, 0.9381015539642146, 0.9620827196886538, 0.9221132341868793, 0.8431583989707397, 0.9370246587509675, 0.0, 0.8791989865969898, 0.880562706376219]"
400,0.921034434135575,0.07379458072226543,"[0.9681077584630348, 0.9266653464259286, 0.9356237583467436, 0.9612663752940576, 0.9382448310000842, 0.926397699589339, 0.9404186751228769, 0.9610068367744071, 0.9531257492175725, 0.9144453157463062, 0.7976081816413678, 0.7119057694706009, 0.9502027401392183, 0.9647522675044459, 0.94816589743895, 0.7486521734742012, 0.956250963307219, 0.976842655305285, 0.9743965095139016, 0.9666091789359628]"
500,0.9146131255282297,0.060002753124451906,"[0.9243277695643911, 0.9651065125097829, 0.9551569978314529, 0.8923043483554711, 0.9064142448149566, 0.9649750848884387, 0.9519284416157928, 0.918671692754144, 0.6904491139313769, 0.9236122922084785, 0.9701303391863322, 0.9155056623451931, 0.9490316323853091, 0.8764709856849839, 0.9733586039529379, 0.934750310048293, 0.8594228094810363, 0.9074586794004202, 0.9005319742361994, 0.9126550153696047]"
750,0.930050499963234,0.06398970353481945,"[0.9250899325914044, 0.9415170542613239, 0.9655210223064461, 0.6859260360580345, 0.9841711210295736, 0.9373809075733629, 0.9470412162814502, 0.9599023011044951, 0.9604728292438265, 0.9066928965866001, 0.9763657822504059, 0.8992121406782337, 0.8510188282257404, 0.9494276199191851, 0.9795541834742216, 0.9315557832150854, 0.9751519721606602, 0.9211159195711288, 0.9536302798668012, 0.9502621728667018]"
1000,0.958825061493131,0.03093212910075043,"[0.9695977361908066, 0.8610274886085703, 0.9847878865157326, 0.9315048578576425, 0.9656811482262341, 0.9666904059074823, 0.9749507248946014, 0.9751881563225282, 0.9700850821612665, 0.9695326903656466, 0.9645541752977879, 0.938260835222702, 0.8890358590080315, 0.983664930512772, 0.9716994024787596, 0.9650386610000763, 0.9793487764569727, 0.9746336599510683, 0.9651111284021042, 0.976107624481837]"
2000,0.9694150101324723,0.01316122685330723,"[0.9700306797822682, 0.982923139098453, 0.9561678245668572, 0.9589766127144, 0.9753937253853862, 0.9753607118591816, 0.9530455177369833, 0.9649570889437158, 0.9299656951235499, 0.9729307555063034, 0.9845006799674526, 0.9622385654634894, 0.974856406723075, 0.9863282532409329, 0.9721106731107989, 0.9727424887846301, 0.9586960434870291, 0.9749822440385766, 0.9765764977765959, 0.9855165993397679]"
3000,0.9750571378749562,0.012813563459562444,"[0.9346650633264817, 0.9887601453717133, 0.9758964556039731, 0.9873212226558407, 0.988318681788635, 0.9814972016011467, 0.9721771938500893, 0.9697978634229177, 0.9866515562583587, 0.9807993690408561, 0.9860961654913168, 0.9638779023796077, 0.9667108649051219, 0.9583593296601483, 0.9724017862543507, 0.9735201420889263, 0.9810311161277562, 0.9874108250133914, 0.9661972790584892, 0.9796525936000059]"
4000,0.977063092948276,0.006387608752997787,"[0.9808023857020505, 0.9850961507561138, 0.983578041634722, 0.9813667083750872, 0.9781977035728292, 0.9748327542680352, 0.974121281618313, 0.9828503844579312, 0.968786818323737, 0.9828966599946288, 0.9712692340794095, 0.984056701356366, 0.9732661886564467, 0.9828078974405727, 0.9695428739552794, 0.9739684497796844, 0.9666624462892048, 0.975365759141278, 0.986284503678498, 0.9655089158853283]"
5000,0.974763606558283,0.014327244606314357,"[0.9904891859841949, 0.9825920005755954, 0.9884096120139929, 0.9399093011819185, 0.9591287868910496, 0.9829812687388274, 0.9720405736156293, 0.9669453720358854, 0.9877500405737248, 0.9798842323535575, 0.9901483637028327, 0.985271753309522, 0.9747713642271837, 0.9458378937193594, 0.9653582489132798, 0.980896447597585, 0.9575821280841594, 0.9771382695679038, 0.9883411473482953, 0.9797961407311626]"
7500,0.9807145983010385,0.007921092411277012,"[0.991979736806308, 0.9849203387575681, 0.9786536064562809, 0.9682331683006283, 0.982070061340763, 0.9834543402589826, 0.9878474131298935, 0.9900164900384504, 0.9774593153920161, 0.9699825087453782, 0.978627104782865, 0.9894945206627503, 0.9871344301457717, 0.9898113448147896, 0.9666447736645815, 0.9867943993073305, 0.9680125293363826, 0.9809152676011776, 0.9802310823047137, 0.9720095341741394]"
10000,0.9805744081682907,0.00909534684593501,"[0.9756797142560107, 0.976122309533165, 0.9897814800051136, 0.9787160124378846, 0.9938126359393823, 0.9853725005240461, 0.9902086990129422, 0.9910574382723345, 0.9796035640395652, 0.9865547541006481, 0.9864062543692462, 0.9748987877026251, 0.9799776716259094, 0.9862655323520648, 0.9709442055530937, 0.9820306998989283, 0.9834054973710853, 0.969462969328799, 0.9780568603480799, 0.9531305766948891]"
