Case,1100,1090,1080,1070,1060,1050,1040,1030,1020,1010,1000,990,980,970,960,950,940,930,920,910,900,890,880,870,860,850,840,830,820,810,800,790,780,770,760,750,740,730,720,710,700,690,680,670,660,650,640,630,620,610,600,590,580,570,560,550,540,530,520,510,500,490,480,470,460,450,440,430,420,410,400,390,380,370,360,350,340,330,320,310,300,290,280,270,260,250,240,230,220,210,200,190,180,170,160,150,140,130,120,110,100,90,80,70,60,50,40,30,20,10,0
dp0,9.790577587856397e-07,1.001154249976641e-06,1.033497062297192e-06,1.00629003144123e-06,1.074432416179512e-06,1.092913449326144e-06,1.04340302331568e-06,1.10196081366879e-06,9.665247900630821e-07,1.132914313747202e-06,1.027505974193431e-06,1.118044872304387e-06,1.180598666248208e-06,1.089466721482776e-06,1.134041248891899e-06,1.219694761678238e-06,1.109826637491356e-06,1.167622151014514e-06,1.167435975827353e-06,1.155502280461962e-06,1.238183451232303e-06,1.285796701102228e-06,1.217919924942886e-06,1.155356403572351e-06,1.200843883034705e-06,1.166075629784497e-06,1.364008507277721e-06,1.259916376051116e-06,1.235667384870314e-06,1.368430479260215e-06,1.432790195780423e-06,1.331336956047064e-06,1.334831997927263e-06,1.362106319652436e-06,1.383004903772631e-06,1.437495901851327e-06,1.335525089111505e-06,1.452012617450614e-06,1.401922160570709e-06,1.496147807015012e-06,1.45282049228135e-06,1.361777476213952e-06,1.428146436032258e-06,1.580306636158485e-06,1.477854541230361e-06,1.573416194830334e-06,1.629468982723582e-06,1.55722519920615e-06,1.518087738219207e-06,1.54060120559445e-06,1.556255258061951e-06,1.605850676941094e-06,1.547447480856097e-06,1.712416293317871e-06,1.567225448631448e-06,1.623783099931303e-06,1.65449072132406e-06,1.687316502828638e-06,1.764665248903823e-06,1.797043745937493e-06,1.679044412657232e-06,1.781823351565593e-06,1.849450784625983e-06,1.82965969448766e-06,1.78613843211186e-06,1.82173268548108e-06,1.778480415090438e-06,1.880657687101358e-06,1.846507087282781e-06,1.940062341850911e-06,1.992939712187969e-06,1.902268183929829e-06,2.052676767495681e-06,2.046492389349641e-06,2.03075397533013e-06,1.85175938860163e-06,2.024679029864851e-06,2.120755265354478e-06,2.034393948934063e-06,2.085595033517444e-06,2.118663709114674e-06,2.159163761761448e-06,2.214969743214523e-06,2.163203680983539e-06,2.318317220439301e-06,2.40210969283749e-06,2.292721456614361e-06,2.228696955617543e-06,2.296991706916091e-06,2.29370089314901e-06,2.320385019972167e-06,2.446585690546559e-06,2.40074466517573e-06,2.332479875980248e-06,2.576055723497835e-06,2.661651499938655e-06,2.609813308967936e-06,2.609088623386206e-06,2.551360869016966e-06,2.651508304933047e-06,2.723231650554408e-06,2.575629344046556e-06,2.588401063937299e-06,2.744370035135832e-06,2.735677498282911e-06,2.813302936993671e-06,2.858941524056375e-06,2.886093170129996e-06,3.018546651569669e-06,3.134478856613439e-06,3.243667888630503e-06
dp1,1.106667439679494e-07,1.023445244542154e-07,1.120570933159237e-07,1.049440798000369e-07,1.085752875017776e-07,1.086830296852738e-07,1.120372803658899e-07,1.078047259218651e-07,1.046143547995494e-07,1.026990946464464e-07,1.013214522843023e-07,1.015005671623992e-07,9.723286292218442e-08,1.027138088298592e-07,1.066763850810256e-07,1.078124014162787e-07,9.74153994490622e-08,1.079014344818034e-07,1.028372725448662e-07,1.050351713426773e-07,1.072661046934933e-07,1.123497507578094e-07,1.040669402486013e-07,1.086999696188877e-07,1.089888434188422e-07,1.080349691817346e-07,1.070970737733994e-07,1.112974141176893e-07,1.105168709666409e-07,1.034134635805579e-07,1.139795456248789e-07,1.171219470251101e-07,1.089462222171715e-07,1.160129530521689e-07,1.033257365699777e-07,1.120053476580986e-07,1.125386626650753e-07,1.166831391700791e-07,1.113759469853533e-07,1.129291705770943e-07,1.10110424047669e-07,1.086253135030138e-07,1.081063159961473e-07,1.04993077670669e-07,1.141753062634069e-07,1.18435792493485e-07,1.167673109260829e-07,1.092897617589776e-07,1.119302547422256e-07,1.201024995260206e-07,1.241744343612855e-07,1.125204874998476e-07,1.163031845156563e-07,1.18624841868316e-07,1.157512743087502e-07,1.195916122231729e-07,1.241357488102059e-07,1.24442400103299e-07,1.152028449207007e-07,1.291102680465968e-07,1.27512646589825e-07,1.250929912953417e-07,1.248916197225009e-07,1.275428247917277e-07,1.235426488519165e-07,1.286769210269173e-07,1.212112730316039e-07,1.145712583366483e-07,1.275910111800629e-07,1.273123947406139e-07,1.288991848018102e-07,1.318830429336888e-07,1.340299043983393e-07,1.422063838436068e-07,1.38980582601364e-07,1.284924740099846e-07,1.324272171984499e-07,1.3413371043708e-07,1.391120079856391e-07,1.465575941506185e-07,1.42809695655596e-07,1.440204513133401e-07,1.434573140018405e-07,1.356214959169221e-07,1.568751346301065e-07,1.549233579289243e-07,1.425232110493658e-07,1.454986065735499e-07,1.451825066469887e-07,1.521200627610946e-07,1.505536039819855e-07,1.515804309937335e-07,1.503412841738002e-07,1.583923130154675e-07,1.525839390112802e-07,1.62416969405718e-07,1.667902663447016e-07,1.624926723130649e-07,1.677979906153205e-07,1.660391037632701e-07,1.688055382647041e-07,1.711202312883406e-07,1.659368983937807e-07,1.701049848604122e-07,1.776489856676874e-07,1.772205193824522e-07,1.757132461503732e-07,1.841326974118756e-07,1.82632514499334e-07,1.870055877804162e-07,1.957847492327699e-07
dp2,7.399183221266101e-08,7.862474620787518e-08,7.505944116791683e-08,7.652500708531376e-08,8.389480126858998e-08,8.078088097841323e-08,7.393400804552631e-08,8.235570160450914e-08,7.42480875922481e-08,7.488079202788736e-08,7.683597672519579e-08,7.806904067612233e-08,7.58271736247978e-08,8.275778150085071e-08,7.699953530569438e-08,8.408488474868908e-08,8.302927173847452e-08,8.608932502106392e-08,8.196001122852155e-08,7.822989732256464e-08,7.943460645240536e-08,8.451556350843819e-08,8.20167997822179e-08,8.337441179259315e-08,7.854318111309907e-08,8.63890816051747e-08,8.636164299521981e-08,8.38805133213674e-08,8.587533515724799e-08,8.427035570047866e-08,9.021794733500941e-08,8.66889131535018e-08,8.416358621475242e-08,8.757533873872427e-08,8.382569188705085e-08,9.303216273023442e-08,9.521823339841261e-08,8.677504163725846e-08,9.322083732638473e-08,9.201296084909404e-08,8.884629338014279e-08,8.801831154109099e-08,8.943705290955008e-08,9.702735882706818e-08,9.454472859348217e-08,9.717378674393546e-08,8.854546577448928e-08,9.025432377540551e-08,1.008169694332709e-07,9.359948812765004e-08,9.543918576590853e-08,9.848059924382686e-08,9.692212667573149e-08,9.547450479320035e-08,1.009472182006186e-07,1.015592939244637e-07,9.766196652909188e-08,9.929551909396831e-08,1.038499975310089e-07,1.009711228073151e-07,9.973814674471517e-08,9.523974213637481e-08,1.063734755814811e-07,9.938547126469806e-08,1.024413306889171e-07,9.870474838905381e-08,1.057269317858528e-07,1.040357918909442e-07,1.089986777628708e-07,1.088992272462325e-07,1.08022907684427e-07,1.118672014423179e-07,1.085583205242512e-07,1.072418516491393e-07,1.096801908404337e-07,1.12484755316081e-07,1.163901988500565e-07,1.212515238389935e-07,1.172013144152565e-07,1.174035349506186e-07,1.12788939211299e-07,1.230935463192582e-07,1.244830920477693e-07,1.255503220897336e-07,1.202863187444627e-07,1.252772535144383e-07,1.294778696769928e-07,1.208474721030735e-07,1.26523760668597e-07,1.261222095265641e-07,1.329381894014339e-07,1.306946849605421e-07,1.313236734261122e-07,1.371948399170388e-07,1.327844118960124e-07,1.315012241272681e-07,1.306972159583468e-07,1.306169632343383e-07,1.361642246068426e-07,1.437612284306671e-07,1.402215465074096e-07,1.488287930689025e-07,1.518958171171349e-07,1.490385461242767e-07,1.460942182367323e-07,1.456044711072946e-07,1.474771160660532e-07,1.537899994652985e-07,1.549388642073772e-07,1.585538479381836e-07,1.665882309451132e-07
dp3,2.692418998702405e-07,2.619933198638958e-07,2.656240813562064e-07,2.777886407424652e-07,2.61497139590403e-07,2.746765947400963e-07,2.469798682578221e-07,2.503726128155746e-07,2.824035143483105e-07,2.638839806961414e-07,2.534789390810093e-07,2.536948075429938e-07,2.655346124145442e-07,2.799458267829633e-07,2.889277327863484e-07,2.924852943213489e-07,2.894119333266186e-07,2.681661924862931e-07,2.729151820366724e-07,2.805848875636346e-07,2.655342258774972e-07,2.638748898535268e-07,2.935033840408591e-07,2.972460469888191e-07,2.790525993000984e-07,2.707940953448117e-07,2.931604421357873e-07,2.737827603253525e-07,2.866443424446967e-07,2.542921967736007e-07,2.970937251350843e-07,2.862151415956833e-07,2.7420220675054e-07,2.848653708331436e-07,2.905909975537255e-07,2.999634531583741e-07,2.854526598965732e-07,2.82916897762896e-07,2.789224724493368e-07,3.004291033986772e-07,2.640616796168653e-07,2.906052572520428e-07,2.854857377093833e-07,3.133325630893686e-07,2.938202091685733e-07,3.00581856448363e-07,3.038078932034378e-07,3.05214242114956e-07,3.088792880587159e-07,3.210723486753246e-07,3.051558346032045e-07,3.068662994189004e-07,3.054624900354318e-07,3.024589589401644e-07,3.063043381545348e-07,3.095892994935683e-07,3.126819477471823e-07,3.038723994030913e-07,3.265732127464702e-07,3.243236364375558e-07,3.00355853732628e-07,3.113814223008263e-07,3.33322064020377e-07,3.211984232409584e-07,3.222579268020188e-07,3.315365742961335e-07,3.230259552099882e-07,3.242198535994922e-07,3.386631698178507e-07,3.411396775331628e-07,3.343163603509174e-07,3.263455474813611e-07,3.493095468797171e-07,3.405935971666258e-07,3.580098126706138e-07,3.612987742110937e-07,3.401501417681973e-07,3.381373790616316e-07,3.548944108779518e-07,3.619730719140412e-07,3.625209043090332e-07,3.522387080861527e-07,3.450787534477292e-07,3.709226537761643e-07,3.756141166392858e-07,3.750835114495259e-07,3.862900367611896e-07,3.757881590252344e-07,3.937485156367839e-07,3.811269255764192e-07,3.848041584264076e-07,3.850523486532937e-07,3.979254361471968e-07,4.040711123700536e-07,4.147420369925819e-07,4.174875394941054e-07,3.940677626001781e-07,4.26909360620226e-07,4.293555806708888e-07,4.322999809885638e-07,4.117373271061072e-07,4.692100665004664e-07,4.351345426487954e-07,4.607841316937251e-07,4.63944329088765e-07,4.547740272021191e-07,4.520616522039539e-07,4.922807837187143e-07,4.819649975916389e-07,4.89619575275264e-07,5.148324025179715e-07
dp4,1.898754698212559e-07,2.339783312192079e-07,2.23931461658426e-07,2.238632027626955e-07,2.0858597344724e-07,2.177955883088359e-07,2.231335857475036e-07,2.339258088875502e-07,2.285899651605911e-07,2.318423568031034e-07,2.24864867788496e-07,2.486943921269038e-07,2.407429049216864e-07,2.431077153878331e-07,2.445713735876192e-07,2.460791363568551e-07,2.49187217414543e-07,2.469860212040794e-07,2.485051510251204e-07,2.493999126025861e-07,2.450427053288901e-07,2.658242725520967e-07,2.656928727405464e-07,2.547865748788592e-07,2.708908045312325e-07,2.69144265677141e-07,2.421596903368778e-07,2.783024695933418e-07,2.817370038312721e-07,2.563884980353055e-07,2.655474648582404e-07,2.724934279114352e-07,2.617222610877295e-07,3.027703019538704e-07,2.82277062574355e-07,2.737812208418797e-07,3.111048985453716e-07,3.030504313302851e-07,3.156698011627046e-07,2.789712903871733e-07,2.966159044928749e-07,3.039808647650013e-07,3.473784668614557e-07,3.282016398295979e-07,3.180001235773034e-07,3.137787668035142e-07,2.947472868756021e-07,3.1030790690799e-07,3.217653538316052e-07,3.40274739596781e-07,3.233303631696756e-07,3.20403217539544e-07,3.400472591997905e-07,3.581530396925165e-07,3.419726477673061e-07,3.646944014301534e-07,3.657066774922376e-07,3.661732540039421e-07,3.810936403297532e-07,3.626886410359282e-07,3.880809053242226e-07,3.627321900067059e-07,4.019249789551799e-07,3.812647938149175e-07,4.285947483724481e-07,3.993354780863955e-07,4.221454038951735e-07,4.160904588859346e-07,4.252097625133863e-07,3.830777391907391e-07,3.68832146892564e-07,4.243292368455877e-07,3.882022721207957e-07,4.632281056359359e-07,4.279683941235135e-07,4.460424684469603e-07,4.585571049529438e-07,4.408521517753736e-07,4.864421473921726e-07,4.477665374725038e-07,4.599996964577937e-07,4.919090314530298e-07,4.727230502295827e-07,4.86010825759554e-07,5.44343591261999e-07,5.158497305437532e-07,5.150144436899541e-07,5.45702404294285e-07,5.076866179520324e-07,5.258269253473343e-07,5.514679903954458e-07,5.219083333736127e-07,5.676796427250395e-07,5.840611215247166e-07,5.521979225035424e-07,5.92581688029952e-07,6.301675022449507e-07,6.178082552316211e-07,6.111646880230481e-07,6.157063963528112e-07,6.463782266247853e-07,6.491590892439163e-07,6.885696071430798e-07,6.947169234260477e-07,6.877283608301567e-07,7.153447218105206e-07,6.976234712605884e-07,7.555132863651002e-07,7.651641281770838e-07,7.833425440774929e-07,8.256297310045915e-07
dp5,4.652752163940204e-07,4.959830696510299e-07,4.456332985842991e-07,4.895486351285343e-07,4.886448857512496e-07,5.217440558708513e-07,5.045549584713785e-07,4.984309746804787e-07,5.571083176474118e-07,5.467011486280873e-07,5.315208794702713e-07,4.97234577661394e-07,5.345954546286462e-07,5.711001628386304e-07,5.381513235404834e-07,6.040561892490796e-07,5.937108670154765e-07,5.790245646824414e-07,5.720185074131997e-07,5.86400102710514e-07,5.788270967534592e-07,5.626975227519126e-07,5.903465553885749e-07,5.610390356784871e-07,5.820862229977743e-07,6.09273528552879e-07,6.154576526041787e-07,6.074452228396671e-07,5.968726199779821e-07,6.29426070612043e-07,6.034145065101659e-07,6.661762812938729e-07,6.327640289224685e-07,6.405090458501301e-07,6.605701752310767e-07,6.798125272629447e-07,7.261731089361065e-07,6.384358685739909e-07,6.408950929077293e-07,6.461718257114488e-07,7.194637915544965e-07,7.276743569158781e-07,6.672493053712044e-07,7.176844851027064e-07,7.163761428937234e-07,7.053576450701082e-07,7.578347311538245e-07,7.163879106306106e-07,7.358182152006791e-07,7.414632206167954e-07,8.052406963642251e-07,7.491730108020971e-07,7.551819184357802e-07,7.831608875925279e-07,8.102066981484985e-07,8.530864588318724e-07,7.733671609745845e-07,7.984155674190093e-07,8.215302556467112e-07,8.583510900598691e-07,8.416504937763662e-07,8.647351732303392e-07,8.378491826845699e-07,8.670536641410996e-07,8.533864954133995e-07,8.439744453324027e-07,9.303235463104747e-07,9.006363416995543e-07,9.210595023122265e-07,9.378978804972673e-07,9.210610087825978e-07,9.49680411500524e-07,9.468927990104011e-07,1.08748319032211e-06,9.405247798427181e-07,9.485365564812776e-07,9.581741206438494e-07,1.066185551814413e-06,9.830906100654216e-07,1.0375511679064e-06,1.047463175998958e-06,1.067835002335941e-06,9.823733127854823e-07,1.075965012505298e-06,1.088836824707584e-06,1.070554817097617e-06,1.063528366454695e-06,1.129763186773483e-06,1.174002813807196e-06,1.129564648072225e-06,1.086653512008622e-06,1.18921049171567e-06,1.197586235024154e-06,1.205394615078187e-06,1.181628178387997e-06,1.254903182070335e-06,1.283347415675908e-06,1.239954335735086e-06,1.261091640450925e-06,1.254459462159537e-06,1.27848017588295e-06,1.311929411891934e-06,1.272647191219925e-06,1.353988887816777e-06,1.401129606332696e-06,1.415839884823155e-06,1.441395545612286e-06,1.426578297900118e-06,1.494304920680421e-06,1.534357462633883e-06,1.618683026889106e-06
dp6,4.426595615381006e-07,5.201483773947599e-07,4.757424903648769e-07,4.830986847465221e-07,5.025667007509425e-07,4.824213177114073e-07,5.379271334043134e-07,4.879529233483549e-07,5.166731034351236e-07,5.093365479483722e-07,5.166551408808487e-07,5.363655889322436e-07,5.380951872448494e-07,5.190189898695742e-07,6.101715154487475e-07,5.622549896672131e-07,5.074062157158574e-07,5.822885460548144e-07,5.798391081089211e-07,5.744448561589353e-07,5.628625520799898e-07,5.430937613824883e-07,5.646912422161425e-07,5.841298448567134e-07,6.107754160171147e-07,6.033434836702439e-07,5.900167152158115e-07,6.240441351843424e-07,5.778866574150583e-07,5.852394770739924e-07,5.974230764585747e-07,6.017426907333548e-07,6.422365721523353e-07,6.073954679976365e-07,6.529910744663283e-07,6.497538098699495e-07,6.681151343404699e-07,6.751474771698131e-07,6.392779412156486e-07,6.500454661865457e-07,6.54578350136809e-07,6.690205472907975e-07,6.493306810688273e-07,6.577045299029442e-07,6.778474531962941e-07,6.43190942717051e-07,7.213189804106412e-07,6.971610473992447e-07,7.068568506485222e-07,6.616441332840076e-07,6.600057527682226e-07,7.455475358353857e-07,6.986207833599889e-07,7.253350581611442e-07,7.081416958602489e-07,7.158923214538139e-07,7.077231557779621e-07,7.790189595194035e-07,7.124939043608694e-07,7.830164762567418e-07,7.38296878776538e-07,7.322684644172635e-07,7.584811628288381e-07,8.004380569160928e-07,8.063460235897614e-07,8.292007196376197e-07,7.655844194617346e-07,7.640066225812072e-07,8.002847658472004e-07,8.660957922139638e-07,8.410875654144651e-07,8.403148488222261e-07,8.246267151564985e-07,8.919777857094524e-07,8.884515128181026e-07,9.007309813812472e-07,8.967595615969565e-07,8.750384677032226e-07,8.747922306837395e-07,8.822303397778243e-07,8.643017838196089e-07,9.498796800617086e-07,9.554440243567163e-07,9.549852885924307e-07,9.297127199542737e-07,1.019637959447013e-06,1.058820353201058e-06,9.574436795313792e-07,9.457078403899039e-07,9.98548627825406e-07,1.061133881228497e-06,9.765758080556065e-07,1.006443378717277e-06,1.070455681656896e-06,1.098955040612151e-06,1.113174659822753e-06,1.100591962429761e-06,1.092739407041246e-06,1.139659432196495e-06,1.135916134154581e-06,1.17509752879476e-06,1.197299238258798e-06,1.223331901838938e-06,1.317374526110495e-06,1.193711811484274e-06,1.288489461086437e-06,1.275947285225626e-06,1.274076672972128e-06,1.330293058764627e-06,1.369548052277558e-06,1.45358834400234e-06
dp7,9.144134622195194e-07,9.500546135017046e-07,9.431091890811284e-07,8.824101417418447e-07,8.751654733943339e-07,1.027096299126289e-06,8.729538164624487e-07,9.612007662619037e-07,9.767361564865323e-07,9.519399716452659e-07,1.002076646746425e-06,1.00229895046974e-06,9.873599253845526e-07,1.061083372845797e-06,1.057051336293946e-06,1.058165090709988e-06,1.145905641330054e-06,1.061350842351605e-06,1.135558347405804e-06,1.103869374175002e-06,1.109921621287388e-06,1.055594534121741e-06,1.178656320193066e-06,1.178313232570961e-06,1.172350423009051e-06,1.079700379835961e-06,1.164029140803336e-06,1.271647970988917e-06,1.275117312023263e-06,1.199517145588392e-06,1.193732589446387e-06,1.267412426075723e-06,1.290356289233497e-06,1.330506224820301e-06,1.307634143739337e-06,1.329154080365236e-06,1.355967528498999e-06,1.306378116133395e-06,1.51533349387121e-06,1.369302531081231e-06,1.259118851752503e-06,1.340325869902027e-06,1.464296872781889e-06,1.306855635911939e-06,1.517201287622046e-06,1.450864125781899e-06,1.479042354966589e-06,1.458598199820207e-06,1.454530932706097e-06,1.539718944419377e-06,1.540293652954906e-06,1.583527432869672e-06,1.570644628399953e-06,1.540916757178074e-06,1.622528286661942e-06,1.685928537010139e-06,1.628449090489145e-06,1.751346860621522e-06,1.614064568606129e-06,1.767733131969541e-06,1.811165080862735e-06,1.875694798692516e-06,1.765549408840639e-06,1.840666583980296e-06,1.846499167923349e-06,1.780262766197084e-06,1.769966604393455e-06,1.826971539137404e-06,2.02163471788356e-06,2.004846181454061e-06,1.986614617419158e-06,2.045327914116e-06,1.969374355078273e-06,1.95984805772104e-06,2.071747646108367e-06,2.054421174375367e-06,2.049653057724471e-06,2.047284185890937e-06,2.16655532301641e-06,2.088796057248075e-06,2.332832427772139e-06,2.330002434036082e-06,2.240866061353852e-06,2.238526758360037e-06,2.156607760460627e-06,2.387028862887173e-06,2.24624790251173e-06,2.408235726149531e-06,2.332529475779732e-06,2.401403119051317e-06,2.546918164799212e-06,2.521102539868827e-06,2.555325535108415e-06,2.621570803767024e-06,2.650647737856992e-06,2.553261390607822e-06,2.71665175636229e-06,2.570046433039352e-06,2.812123579278311e-06,2.55738040014713e-06,2.785964048971065e-06,2.875021007976287e-06,2.827413542287156e-06,3.022572903561247e-06,3.117972335986152e-06,3.156592203783786e-06,3.26953671313229e-06,3.235763822982126e-06,3.297838666696653e-06,3.519467085043721e-06,3.662466317263517e-06
dp8,2.378779316153048e-07,2.652998451866087e-07,2.518901881313346e-07,2.312331134949603e-07,2.593320291020481e-07,2.51505462052538e-07,2.449310834142675e-07,2.495499636238607e-07,2.689343678681111e-07,2.494475976526452e-07,2.862503586178725e-07,2.607274404050815e-07,2.519016618754775e-07,2.613424067521027e-07,2.812060467397605e-07,2.670883567137768e-07,2.594329591989576e-07,2.754836738057422e-07,2.836723193212653e-07,2.720067948249376e-07,2.640588942778117e-07,2.796595774702991e-07,2.94702835548691e-07,2.844903599311822e-07,2.914912604283841e-07,2.777988145733554e-07,3.067446564150247e-07,3.243264842890449e-07,2.741834968955822e-07,2.80720492533731e-07,2.806053986185865e-07,3.046692658978274e-07,3.076385800526042e-07,3.00605063072138e-07,2.98965294038798e-07,2.990219323774844e-07,3.091389041195917e-07,3.09289954756495e-07,3.24029851826957e-07,2.897790037306239e-07,3.168967173724776e-07,2.934660855645753e-07,3.276380605647698e-07,3.441464594209153e-07,3.065507439245696e-07,3.08518697059114e-07,3.292651943797687e-07,3.248000573283562e-07,3.355944756073613e-07,3.30563103414676e-07,3.404778029755433e-07,3.276156742762713e-07,3.414219221475789e-07,3.51679168167286e-07,3.430891983874643e-07,3.330874809377054e-07,3.489103569086285e-07,3.605404351591086e-07,3.629154665745021e-07,3.852135847348627e-07,3.547129958376887e-07,3.457801089771091e-07,3.569173027767801e-07,3.527665832319282e-07,3.670914210189881e-07,3.832553239071556e-07,3.748560832746308e-07,3.926007262702936e-07,3.731621452246622e-07,4.148553119923611e-07,3.968565401311105e-07,3.692718106525884e-07,4.067548864665129e-07,3.923713212626267e-07,4.054708689874826e-07,4.104789588821131e-07,4.512615916130691e-07,3.928109221747308e-07,4.44543684730719e-07,4.40991393237557e-07,4.124840798051281e-07,4.426731444375966e-07,4.531207356325882e-07,4.463675488060773e-07,4.593217909535443e-07,4.592145111984548e-07,4.903833058667073e-07,4.650139923838015e-07,4.648811065832078e-07,4.850667407675227e-07,4.949208921200525e-07,4.889784349377595e-07,4.831088411399335e-07,4.921812797713679e-07,5.287259266648768e-07,5.458862571923278e-07,5.397081853623393e-07,5.449902962028982e-07,5.189915586915321e-07,5.485201712866458e-07,5.579956523622126e-07,5.626779231082145e-07,5.635075211705862e-07,5.848014328398921e-07,5.737744088478049e-07,6.029904413665473e-07,5.998741622732692e-07,6.257785331039391e-07,6.507001861668571e-07,6.691699227287079e-07,6.957707587398971e-07
