,complexity,loss,equation,score,sympy_format,lambda_format
0,1,91.43455,5.957023,0.0,5.95702300000000,PySRFunction(X=>5.95702300000000)
1,2,86.998375,sqrt(C_in),0.049733975466305466,sqrt(C_in),PySRFunction(X=>sqrt(C_in))
2,3,60.495026,C_in * 0.534178,0.3633282935382905,C_in*0.534178,PySRFunction(X=>C_in*0.534178)
3,5,60.22522,(C_in * 0.5022533) + 0.7116716,0.0022349726593175333,C_in*0.5022533 + 0.7116716,PySRFunction(X=>C_in*0.5022533 + 0.7116716)
4,6,53.696274,C_in * exp(Distance * -0.0012474013),0.11474758782962427,C_in*exp(Distance*(-0.0012474013)),PySRFunction(X=>C_in*exp(Distance*(-0.0012474013)))
5,8,53.065258,exp((Distance + C_in) * -0.0011640796) * C_in,0.005910587234481901,C_in*exp((C_in + Distance)*(-0.0011640796)),PySRFunction(X=>C_in*exp((C_in + Distance)*(-0.0011640796)))
6,10,52.708557,exp(((C_in + C_in) + Distance) * -0.0011209061) * C_in,0.0033723124403896155,C_in*exp((C_in + C_in + Distance)*(-0.0011209061)),PySRFunction(X=>C_in*exp((C_in + C_in + Distance)*(-0.0011209061)))
7,11,52.28207,(((C_in * -6.5766363) - Distance) * (C_in * 0.000577608)) + C_in,0.00812433181955117,(C_in*(-6.5766363) - Distance)*C_in*0.000577608 + C_in,PySRFunction(X=>(C_in*(-6.5766363) - Distance)*C_in*0.000577608 + C_in)
8,13,52.148445,C_in + (((C_in * 0.0005427041) * ((C_in * -7.2368526) - Distance)) + -0.45931232),0.0012795596471668065,C_in*0.0005427041*(C_in*(-7.2368526) - Distance) + C_in - 0.45931232,PySRFunction(X=>C_in*0.0005427041*(C_in*(-7.2368526) - Distance) + C_in - 0.45931232)
9,14,51.814037,(C_in + (exp(C_in / Area) * -1.3343105)) - (Distance * (C_in * 0.0005513963)),0.006433266057308673,-0.0005513963*C_in*Distance + C_in + exp(C_in/Area)*(-1.3343105),PySRFunction(X=>-0.0005513963*C_in*Distance + C_in + exp(C_in/Area)*(-1.3343105))
10,16,50.8488,C_in + ((exp(C_in / Area) * -1.6624279) - ((Distance * (C_in * 0.0005464781)) - V_in)),0.009402286857842713,C_in - (Distance*C_in*0.0005464781 - V_in) + exp(C_in/Area)*(-1.6624279),PySRFunction(X=>C_in - (Distance*C_in*0.0005464781 - V_in) + exp(C_in/Area)*(-1.6624279))
11,18,50.81666,((exp((C_in + 6.8732476) / Area) * -1.3132448) + V_in) + (C_in - ((C_in * Distance) * 0.0005514821)),0.00031613491023110537,-0.0005514821*C_in*Distance + C_in + V_in + exp((C_in + 6.8732476)/Area)*(-1.3132448),PySRFunction(X=>-0.0005514821*C_in*Distance + C_in + V_in + exp((C_in + 6.8732476)/Area)*(-1.3132448))
12,19,50.79591,((C_in + (exp((C_in + 9.638431) / Area) * -1.1650797)) + sqrt(V_in)) - ((Distance * C_in) * 0.0005628535),0.0004084140434284324,-0.0005628535*C_in*Distance + C_in + sqrt(V_in) - 1.1650797*exp((C_in + 9.638431)/Area),PySRFunction(X=>-0.0005628535*C_in*Distance + C_in + sqrt(V_in) - 1.1650797*exp((C_in + 9.638431)/Area))
13,20,50.76335,C_in + ((((V_in - C_in) * 0.0005823718) * Distance) + ((exp((C_in + 9.514231) / Area) * -1.1461778) - -0.7312499)),0.0006412020157602172,C_in + (-C_in + V_in)*0.0005823718*Distance + exp((C_in + 9.514231)/Area)*(-1.1461778) - 1*(-0.7312499),PySRFunction(X=>C_in + (-C_in + V_in)*0.0005823718*Distance + exp((C_in + 9.514231)/Area)*(-1.1461778) - 1*(-0.7312499))
14,22,50.75345,((C_in + ((((V_in * 1.3666308) - C_in) * Distance) * 0.0005826323)) + (exp((C_in + 9.885744) / Area) * -1.1222038)) - -0.5807005,9.752080474744806e-05,C_in + (-C_in + V_in*1.3666308)*Distance*0.0005826323 + exp((C_in + 9.885744)/Area)*(-1.1222038) - 1*(-0.5807005),PySRFunction(X=>C_in + (-C_in + V_in*1.3666308)*Distance*0.0005826323 + exp((C_in + 9.885744)/Area)*(-1.1222038) - 1*(-0.5807005))
15,24,50.732883,C_in + ((((V_in + 0.564529) - C_in) * (Distance * 0.00058909)) + ((exp((C_in + 12.786612) / (V_in + Area)) * -1.0410321) - -0.5309376)),0.0002026578325730248,C_in + (-C_in + V_in + 0.564529)*Distance*0.00058909 + exp((C_in + 12.786612)/(Area + V_in))*(-1.0410321) - 1*(-0.5309376),PySRFunction(X=>C_in + (-C_in + V_in + 0.564529)*Distance*0.00058909 + exp((C_in + 12.786612)/(Area + V_in))*(-1.0410321) - 1*(-0.5309376))
