,complexity,loss,equation,score,sympy_format,lambda_format
0,1,34.274006,5.668639,0.0,5.66863900000000,PySRFunction(X=>5.66863900000000)
1,2,29.539234,sqrt(C_in),0.14866787847252996,sqrt(C_in),PySRFunction(X=>sqrt(C_in))
2,3,8.187679,C_in / 1.9993944,1.2830888825081173,C_in/1.9993944,PySRFunction(X=>C_in/1.9993944)
3,5,7.8123217,(C_in / 2.1625175) + 0.84047437,0.023464135457861048,C_in/2.1625175 + 0.84047437,PySRFunction(X=>C_in/2.1625175 + 0.84047437)
4,6,7.758703,(log(C_in) + C_in) / 2.2431083,0.006887011351523914,0.44580995041568*C_in + 0.44580995041568*log(C_in),PySRFunction(X=>0.44580995041568*C_in + 0.44580995041568*log(C_in))
5,7,1.2511898,(C_in / (Distance - -494.87793)) * 473.13086,1.8247202424487938,C_in*473.13086/(Distance - 1*(-494.87793)),PySRFunction(X=>C_in*473.13086/(Distance - 1*(-494.87793)))
6,8,1.1787183,C_in / exp((Distance / Area) * 0.04918547),0.05966727689287333,C_in/exp(Distance*0.04918547/Area),PySRFunction(X=>C_in/exp(Distance*0.04918547/Area))
7,9,0.6419663,C_in / (((Distance / 13.376804) / Area) + 1.0443581),0.6076471305906722,C_in/(1.0443581 + Distance/(13.376804*Area)),PySRFunction(X=>C_in/(1.0443581 + Distance/(13.376804*Area)))
8,10,0.60588974,C_in / square((Distance / (Area * 36.02636)) + 1.0442919),0.05783778778016276,C_in/((Distance/((Area*36.02636)) + 1.0442919)**2),PySRFunction(X=>C_in/((Distance/((Area*36.02636)) + 1.0442919)**2))
9,11,0.543458,(C_in / (((Distance / 12.573896) / Area) + 1.0681545)) - -0.43141302,0.10874559565386971,C_in/(1.0681545 + Distance/(12.573896*Area)) - 1*(-0.43141302),PySRFunction(X=>C_in/(1.0681545 + Distance/(12.573896*Area)) - 1*(-0.43141302))
10,12,0.44272554,C_in / exp((0.0514596 / V_in) - ((Distance * -0.039703578) / Area)),0.20500239715342045,C_in/exp(0.0514596/V_in - (-0.039703578)*Distance/Area),PySRFunction(X=>C_in/exp(0.0514596/V_in - (-0.039703578)*Distance/Area))
11,13,0.3181417,C_in / (1.0410733 - ((Distance * -0.061075397) / (sqrt(sqrt(V_in)) * Area))),0.3304531484975289,C_in/(1.0410733 + 0.061075397*Distance/(Area*V_in**(1/4))),PySRFunction(X=>C_in/(1.0410733 + 0.061075397*Distance/(Area*V_in**(1/4))))
12,14,0.26443216,C_in / exp(0.11186671 - (Distance * (-0.049938157 / (Area + (16.257166 * V_in))))),0.18491214654659888,C_in/exp(0.11186671 - (-0.049938157)*Distance/(Area + 16.257166*V_in)),PySRFunction(X=>C_in/exp(0.11186671 - (-0.049938157)*Distance/(Area + 16.257166*V_in)))
13,15,0.23891114,C_in / exp(0.11843173 - (Distance * (-0.04417009 / ((Area * sqrt(V_in)) + 13.93515)))),0.10149305083489298,0.888312458678285*C_in*exp(-0.04417009*Distance/(Area*sqrt(V_in) + 13.93515)),PySRFunction(X=>0.888312458678285*C_in*exp(-0.04417009*Distance/(Area*sqrt(V_in) + 13.93515)))
14,16,0.1851733,C_in / exp(0.115725264 - ((Distance * -0.047492385) / ((Area + 13.932584) * sqrt(sqrt(V_in))))),0.2547995402816011,0.890719902507975*C_in*exp(-0.047492385*Distance/(V_in**(1/4)*(Area + 13.932584))),PySRFunction(X=>0.890719902507975*C_in*exp(-0.047492385*Distance/(V_in**(1/4)*(Area + 13.932584))))
15,18,0.17867331,C_in / exp(((2.7247546 - (Distance * -0.05221542)) / ((Area + 18.595238) * sqrt(sqrt(V_in)))) - -0.05221542),0.01786654440251768,0.949124384443984*C_in*exp(-(0.05221542*Distance + 2.7247546)/(V_in**(1/4)*(Area + 18.595238))),PySRFunction(X=>0.949124384443984*C_in*exp(-(0.05221542*Distance + 2.7247546)/(V_in**(1/4)*(Area + 18.595238))))
16,20,0.17700118,(C_in / exp(((1.8190141 - (Distance * -0.050605778)) / ((Area + 17.22005) * sqrt(sqrt(V_in)))) + 0.07875978)) - -0.051469296,0.004701327664487502,0.924261923979034*C_in*exp(-(0.050605778*Distance + 1.8190141)/(V_in**(1/4)*(Area + 17.22005))) + 0.051469296,PySRFunction(X=>0.924261923979034*C_in*exp(-(0.050605778*Distance + 1.8190141)/(V_in**(1/4)*(Area + 17.22005))) + 0.051469296)
17,22,0.17396748,(C_in / exp((((V_in - (Distance * -0.05285939)) + 1.5609223) / (sqrt(sqrt(V_in)) * (Area + 18.87558))) + 0.07152731)) - -0.07807186,0.008644007011402886,0.930970852433703*C_in*exp(-(0.05285939*Distance + V_in + 1.5609223)/(V_in**(1/4)*(Area + 18.87558))) + 0.07807186,PySRFunction(X=>0.930970852433703*C_in*exp(-(0.05285939*Distance + V_in + 1.5609223)/(V_in**(1/4)*(Area + 18.87558))) + 0.07807186)
18,24,0.16152285,(C_in + 0.0041248426) / exp(((((C_in / -1.7302556) + (Area - Distance)) / (sqrt(sqrt(V_in)) * (Area + 16.454176))) * -0.049590643) + 0.13498531),0.03711088323642751,0.87372874666905*(C_in + 0.0041248426)*exp(0.049590643*(Area - 0.577949292578507*C_in - Distance)/(V_in**(1/4)*(Area + 16.454176))),PySRFunction(X=>0.87372874666905*(C_in + 0.0041248426)*exp(0.049590643*(Area - 0.577949292578507*C_in - Distance)/(V_in**(1/4)*(Area + 16.454176))))
