,complexity,loss,equation,score,sympy_format,lambda_format
0,1,39.30417,5.5974402,0.0,5.59744020000000,PySRFunction(X=>5.59744020000000)
1,2,33.31162,sqrt(C_in),0.1654243350496866,sqrt(C_in),PySRFunction(X=>sqrt(C_in))
2,3,9.493916,C_in / 1.9713069,1.2552551126701168,C_in/1.9713069,PySRFunction(X=>C_in/1.9713069)
3,5,9.346201,(C_in + 1.0821223) * 0.4841758,0.007840610911438204,(C_in + 1.0821223)*0.4841758,PySRFunction(X=>(C_in + 1.0821223)*0.4841758)
4,6,8.914872,(log(Area) * 0.14267156) * C_in,0.047249057185691896,0.14267156*C_in*log(Area),PySRFunction(X=>0.14267156*C_in*log(Area))
5,7,1.0789543,(C_in * 445.0735) / (Distance + 456.5461),2.111728562040607,C_in*445.0735/(Distance + 456.5461),PySRFunction(X=>C_in*445.0735/(Distance + 456.5461))
6,9,0.52885646,(C_in * 12.766813) / ((Distance / Area) + 13.216523),0.35651527872315997,C_in*12.766813/(13.216523 + Distance/Area),PySRFunction(X=>C_in*12.766813/(13.216523 + Distance/Area))
7,11,0.42121556,(C_in * (V_in + 12.195039)) / ((Distance / Area) + 13.13997),0.11378616561779617,C_in*(V_in + 12.195039)/(13.13997 + Distance/Area),PySRFunction(X=>C_in*(V_in + 12.195039)/(13.13997 + Distance/Area))
8,13,0.26693228,(C_in * 9.878242) / ((Distance / ((V_in * 18.961428) + Area)) + 10.137549),0.22807486418829243,C_in*9.878242/(Distance/(Area + V_in*18.961428) + 10.137549),PySRFunction(X=>C_in*9.878242/(Distance/(Area + V_in*18.961428) + 10.137549))
9,14,0.26667738,C_in * (9.6891575 / ((Distance * inv(Area + (V_in / 0.04972744))) + 9.921232)),0.0009553800783455289,C_in*9.6891575/(Distance/(Area + V_in/0.04972744) + 9.921232),PySRFunction(X=>C_in*9.6891575/(Distance/(Area + V_in/0.04972744) + 9.921232))
10,15,0.26663023,C_in * (9.878242 / ((Distance / ((V_in * 18.961428) + (Area - 0.15348133))) + 10.137549)),0.00017682102875991328,C_in*9.878242/(Distance/(Area + V_in*18.961428 - 1*0.15348133) + 10.137549),PySRFunction(X=>C_in*9.878242/(Distance/(Area + V_in*18.961428 - 1*0.15348133) + 10.137549))
11,16,0.19464926,C_in * ((15.439041 / ((inv(Area + (V_in / 0.04620144)) * Distance) + 14.139052)) - 0.14514811),0.3146635198101765,C_in*(-1*0.14514811 + 15.439041/(Distance/(Area + V_in/0.04620144) + 14.139052)),PySRFunction(X=>C_in*(-1*0.14514811 + 15.439041/(Distance/(Area + V_in/0.04620144) + 14.139052)))
12,17,0.18286452,((15.80039 / ((inv(Area + (sqrt(V_in) / 0.035947807)) * Distance) + 13.630334)) - 0.21812181) * C_in,0.06245372155932524,C_in*(-0.21812181 + 15.80039/(Distance/(Area + 27.8181086262091*sqrt(V_in)) + 13.630334)),PySRFunction(X=>C_in*(-0.21812181 + 15.80039/(Distance/(Area + 27.8181086262091*sqrt(V_in)) + 13.630334)))
13,19,0.16925712,((15.667252 / ((inv(Area + ((sqrt(V_in) / 0.031479713) - 3.9750993)) * Distance) + 13.760559)) - 0.20185633) * C_in,0.03866328597009251,C_in*(-0.20185633 + 15.667252/(Distance/(Area + 31.7664903742928*sqrt(V_in) - 3.9750993) + 13.760559)),PySRFunction(X=>C_in*(-0.20185633 + 15.667252/(Distance/(Area + 31.7664903742928*sqrt(V_in) - 3.9750993) + 13.760559)))
14,20,0.15675567,((15.67082 / ((inv(Area + ((sqrt(V_in) / 0.03687948) - inv(V_in))) * Distance) + 13.763563)) - 0.19241266) * C_in,0.07673062774674348,C_in*(-0.19241266 + 15.67082/(Distance/(Area + 27.1153497825891*sqrt(V_in) - 1/V_in) + 13.763563)),PySRFunction(X=>C_in*(-0.19241266 + 15.67082/(Distance/(Area + 27.1153497825891*sqrt(V_in) - 1/V_in) + 13.763563)))
15,21,0.14603473,((15.667519 / ((Distance * inv(Area + ((sqrt(V_in) / 0.033231482) - (0.07980004 * C_in)))) + 13.760327)) - 0.19730687) * C_in,0.07084388097514788,C_in*(-0.19730687 + 15.667519/(Distance/(Area - 0.07980004*C_in + 30.0919471481892*sqrt(V_in)) + 13.760327)),PySRFunction(X=>C_in*(-0.19730687 + 15.667519/(Distance/(Area - 0.07980004*C_in + 30.0919471481892*sqrt(V_in)) + 13.760327)))
16,23,0.14402051,((15.667519 / ((Distance * inv(((sqrt(V_in) / 0.033231482) + Area) - (C_in * 0.07980004))) + 13.760327)) - 0.19730687) * (C_in - 0.07970971),0.00694437507159925,(-0.19730687 + 15.667519/(Distance/(Area - 0.07980004*C_in + 30.0919471481892*sqrt(V_in)) + 13.760327))*(C_in - 0.07970971),PySRFunction(X=>(-0.19730687 + 15.667519/(Distance/(Area - 0.07980004*C_in + 30.0919471481892*sqrt(V_in)) + 13.760327))*(C_in - 0.07970971))
17,25,0.14395066,(C_in - 0.07980598) * ((15.667524 / ((Distance * inv((((sqrt(V_in) / 0.032437306) + Area) - (C_in * 0.07967461)) + -0.50442946)) + 13.760326)) - 0.19710942),0.00024255900814606582,(-0.19710942 + 15.667524/(Distance/(Area - 0.07967461*C_in + 30.8287007558519*sqrt(V_in) - 0.50442946) + 13.760326))*(C_in - 0.07980598),PySRFunction(X=>(-0.19710942 + 15.667524/(Distance/(Area - 0.07967461*C_in + 30.8287007558519*sqrt(V_in) - 0.50442946) + 13.760326))*(C_in - 0.07980598))
